time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
5.768548,-1.68891284553,-2.1682818412,2.62770908665,2.34200516523,0.00882038952026,0.0023009711792,-0.0191747598267,100.0,0.50774764021,-0.0233932069885,-0.0981747703125,-0.052538841925,-3.04341787969,-1.54395166124,2.99087903776,0.0
5.768718,-1.68891284553,-2.1682818412,2.62770908665,2.34200516523,0.00882038952026,0.0023009711792,-0.0191747598267,100.0,0.50774764021,-0.0233932069885,-0.0981747703125,-0.052538841925,-3.04341787969,-1.54395166124,2.99087903776,0.0
5.778874,-1.68929634073,-2.16981582198,2.62770908665,2.34085467964,0.0080533991272,0.0011504855896,-0.0199417502197,100.0,0.50774764021,-0.0233932069885,-0.098558265509,-0.0533058323181,-3.04265088929,-1.54318467085,2.99049554257,0.0
5.788947,-1.68891284553,-2.17250028836,2.62655860106,2.34008768925,0.00882038952026,0.000766990393066,-0.0195582550232,100.0,0.507364145013,-0.023009711792,-0.098558265509,-0.0521553467285,-3.04303438449,-1.54318467085,2.99087903776,0.0
5.798917,-1.68852935034,-2.17403426915,2.62540811547,2.33855370846,0.00843689432373,0.0011504855896,-0.0203252454163,100.0,0.508514630603,-0.023009711792,-0.098558265509,-0.0521553467285,-3.04303438449,-1.54356816605,2.99011204737,0.0
5.809053,-1.68891284553,-2.17480125954,2.62579161066,2.33740322287,0.0092038847168,0.0023009711792,-0.0195582550232,100.0,0.507364145013,-0.0233932069885,-0.0981747703125,-0.0536893275146,-3.04265088929,-1.54395166124,2.99087903776,0.0
5.820288,-1.68967983593,-2.17595174513,2.62617510586,2.33740322287,0.00766990393066,0.00191747598267,-0.0199417502197,100.0,0.506980649817,-0.023009711792,-0.0989417607056,-0.0521553467285,-3.0418838989,-1.54356816605,2.99049554257,0.0
5.828941,-1.68891284553,-2.17633524033,2.62464112507,2.33625273728,0.0080533991272,0.0023009711792,-0.0195582550232,100.0,0.50774764021,-0.0237767021851,-0.0993252559021,-0.0529223371216,-3.04265088929,-1.54356816605,2.99126253296,0.0
5.839240,-1.68929634073,-2.17710223072,2.62655860106,2.33510225169,0.0092038847168,0.0023009711792,-0.0191747598267,100.0,0.508131135406,-0.023009711792,-0.098558265509,-0.0521553467285,-3.04341787969,-1.54356816605,2.99049554257,0.0
5.849119,-1.69006333112,-2.17671873552,2.62464112507,2.3343352613,0.0092038847168,0.00383495196533,-0.0195582550232,100.0,0.508514630603,-0.023009711792,-0.0981747703125,-0.0533058323181,-3.04303438449,-1.54395166124,2.99087903776,0.0
5.859034,-1.68967983593,-2.17633524033,2.62540811547,2.3335682709,0.00882038952026,0.0034514567688,-0.0199417502197,100.0,0.508131135406,-0.0233932069885,-0.098558265509,-0.052538841925,-3.04303438449,-1.54356816605,2.99011204737,0.0
5.869139,-1.68967983593,-2.17633524033,2.62464112507,2.33318477571,0.00728640873413,0.0034514567688,-0.0195582550232,100.0,0.507364145013,-0.0233932069885,-0.0989417607056,-0.0529223371216,-3.04341787969,-1.54433515644,2.99126253296,0.0
5.878982,-1.68967983593,-2.17633524033,2.62425762988,2.33165079492,0.00843689432373,0.00268446637573,-0.0195582550232,100.0,0.508131135406,-0.023009711792,-0.0981747703125,-0.0521553467285,-3.04265088929,-1.54433515644,2.99049554257,0.0
5.889264,-1.68967983593,-2.17710223072,2.62349063948,2.33050030933,0.00843689432373,0.00153398078613,-0.0195582550232,100.0,0.508131135406,-0.023009711792,-0.0981747703125,-0.0529223371216,-3.04265088929,-1.54433515644,2.99087903776,0.0
5.899648,-1.68891284553,-2.17671873552,2.6219566587,2.32858283335,0.00843689432373,0.0023009711792,-0.0195582550232,100.0,0.508514630603,-0.0237767021851,-0.0981747703125,-0.0529223371216,-3.0422673941,-1.54471865164,2.99087903776,0.0
5.908968,-1.68891284553,-2.17671873552,2.62349063948,2.32781584296,0.0080533991272,0.00191747598267,-0.0199417502197,100.0,0.508514630603,-0.0233932069885,-0.098558265509,-0.0536893275146,-3.04265088929,-1.54433515644,2.99049554257,0.0
5.919288,-1.68891284553,-2.17633524033,2.62387413468,2.32704885256,0.00843689432373,0.00153398078613,-0.0191747598267,100.0,0.508514630603,-0.0233932069885,-0.0981747703125,-0.0544563179077,-3.04265088929,-1.54395166124,2.99087903776,0.0
5.929162,-1.68929634073,-2.17633524033,2.62349063948,2.32628186217,0.00766990393066,0.00153398078613,-0.0195582550232,100.0,0.508514630603,-0.023009711792,-0.0989417607056,-0.0536893275146,-3.0422673941,-1.54318467085,2.99011204737,0.0
5.939034,-1.69044682632,-2.17671873552,2.62425762988,2.32628186217,0.00728640873413,0.0023009711792,-0.0191747598267,100.0,0.508514630603,-0.0233932069885,-0.098558265509,-0.052538841925,-3.04265088929,-1.54356816605,2.99049554257,0.0
5.949108,-1.68967983593,-2.17556824993,2.62425762988,2.32589836697,0.00843689432373,0.0023009711792,-0.0195582550232,100.0,0.509281620996,-0.023009711792,-0.098558265509,-0.0521553467285,-3.0418838989,-1.54433515644,2.99126253296,0.0
5.959286,-1.68967983593,-2.17633524033,2.62387413468,2.32589836697,0.00843689432373,0.00268446637573,-0.0195582550232,100.0,0.5088981258,-0.023009711792,-0.0989417607056,-0.0533058323181,-3.0415004037,-1.54433515644,2.99126253296,0.0
