time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
19.939883,0.485121423615,0.514267058551,3.05377224999,0.515417544141,0.0429514620117,-1.55660700273,2.17633524033,100.0,1.53091282456,0.308330138013,-0.0310631109192,1.39553902018,-2.49156829188,1.5596749643,2.99318000894,2.8846154213
19.949978,0.485121423615,0.514650553748,3.05415574519,0.515034048944,0.0421844716187,-1.55584001234,2.17595174513,100.0,1.53091282456,0.307946642816,-0.0306796157227,1.39668950577,-2.49118479668,1.5600584595,2.99394699933,2.8846154213
19.959852,0.485504918811,0.514650553748,3.0530052596,0.515034048944,0.0418009764221,-1.55699049792,2.17633524033,100.0,1.53052932936,0.30756314762,-0.0306796157227,1.39783999136,-2.49233528227,1.56082544989,2.99279651375,2.8846154213
19.969836,0.485121423615,0.514267058551,3.05377224999,0.515034048944,0.0414174812256,-1.55660700273,2.17595174513,100.0,1.53091282456,0.30756314762,-0.0302961205261,1.39783999136,-2.49233528227,1.5600584595,2.99356350414,2.8846154213
19.979995,0.485121423615,0.515034048944,3.05377224999,0.515417544141,0.0425679668152,-1.55660700273,2.17595174513,100.0,1.53052932936,0.307179652423,-0.0299126253296,1.39630601058,-2.49310227266,1.56044195469,2.99356350414,2.8846154213
19.989912,0.485504918811,0.513500068158,3.0526217644,0.515034048944,0.0414174812256,-1.55699049792,2.17671873552,100.0,1.53052932936,0.307179652423,-0.0299126253296,1.39707300097,-2.49233528227,1.5600584595,2.99241301855,2.8846154213
19.999951,0.485504918811,0.514267058551,3.05415574519,0.514650553748,0.0425679668152,-1.55660700273,2.17633524033,100.0,1.52899534858,0.306796157227,-0.0299126253296,1.39745649617,-2.49233528227,1.5596749643,2.99318000894,2.8846154213
20.010005,0.484737928418,0.514650553748,3.05415574519,0.515417544141,0.0418009764221,-1.55660700273,2.17633524033,100.0,1.52899534858,0.306796157227,-0.0299126253296,1.39745649617,-2.49233528227,1.5596749643,2.99318000894,2.8846154213
20.019874,0.485504918811,0.514650553748,3.05415574519,0.515417544141,0.0425679668152,-1.55699049792,2.17595174513,100.0,1.52899534858,0.30756314762,-0.0299126253296,1.39745649617,-2.49233528227,1.56082544989,2.99279651375,2.8846154213
20.029847,0.485121423615,0.513883563354,3.05415574519,0.515417544141,0.0418009764221,-1.55660700273,2.17633524033,100.0,1.52822835818,0.30756314762,-0.0299126253296,1.39707300097,-2.49233528227,1.5600584595,2.99356350414,2.8846154213
20.040014,0.485504918811,0.514650553748,3.05377224999,0.515801039337,0.0425679668152,-1.55660700273,2.17595174513,100.0,1.52746136779,0.306796157227,-0.0291456349365,1.39707300097,-2.49233528227,1.56044195469,2.99318000894,2.8846154213
20.049859,0.485121423615,0.514267058551,3.05415574519,0.515034048944,0.0421844716187,-1.55660700273,2.17518475474,100.0,1.52822835818,0.306796157227,-0.0295291301331,1.39745649617,-2.49195178707,1.56082544989,2.99318000894,2.8846154213
20.059858,0.484354433221,0.513883563354,3.05377224999,0.515034048944,0.0425679668152,-1.55699049792,2.17480125954,100.0,1.52784486299,0.307179652423,-0.0283786445435,1.39745649617,-2.49195178707,1.5600584595,2.99318000894,2.8846154213
20.069850,0.484737928418,0.514650553748,3.05453924039,0.515801039337,0.0425679668152,-1.55699049792,2.17633524033,100.0,1.52822835818,0.306796157227,-0.02876213974,1.39783999136,-2.49271877747,1.56120894509,2.99356350414,2.8846154213
20.079982,0.485504918811,0.514650553748,3.05377224999,0.513883563354,0.0425679668152,-1.55660700273,2.17595174513,100.0,1.52784486299,0.306029166833,-0.02876213974,1.39860698176,-2.49233528227,1.56044195469,2.99279651375,2.8846154213
20.089888,0.484737928418,0.514650553748,3.0533887548,0.515034048944,0.0418009764221,-1.55660700273,2.17671873552,100.0,1.52822835818,0.307179652423,-0.0279951493469,1.39860698176,-2.49348576786,1.56044195469,2.99356350414,2.8846154213
20.099868,0.485121423615,0.514650553748,3.0533887548,0.513883563354,0.0421844716187,-1.55622350753,2.17633524033,100.0,1.52822835818,0.307179652423,-0.0279951493469,1.39860698176,-2.49310227266,1.5600584595,2.99318000894,2.8846154213
20.109866,0.485121423615,0.514267058551,3.05377224999,0.515801039337,0.0425679668152,-1.55660700273,2.17633524033,100.0,1.52822835818,0.30756314762,-0.0279951493469,1.39860698176,-2.49271877747,1.5596749643,2.99356350414,2.8846154213
20.119974,0.485504918811,0.515034048944,3.0530052596,0.516184534534,0.0418009764221,-1.55660700273,2.17595174513,100.0,1.52746136779,0.307946642816,-0.0272281589539,1.39975746735,-2.49386926306,1.56044195469,2.99356350414,2.8846154213
20.129827,0.485504918811,0.515034048944,3.0530052596,0.516184534534,0.0418009764221,-1.55660700273,2.17595174513,100.0,1.52746136779,0.307946642816,-0.0272281589539,1.39975746735,-2.49386926306,1.56044195469,2.99356350414,2.8846154213
20.139811,0.485504918811,0.515417544141,3.05415574519,0.515417544141,0.0418009764221,-1.55699049792,2.17595174513,100.0,1.52784486299,0.30756314762,-0.0276116541504,1.40090795294,-2.49425275825,1.56044195469,2.99356350414,2.8846154213
20.149832,0.485504918811,0.515417544141,3.05415574519,0.515417544141,0.0418009764221,-1.55699049792,2.17595174513,100.0,1.52784486299,0.30756314762,-0.0276116541504,1.40090795294,-2.49425275825,1.56044195469,2.99356350414,2.8846154213
20.159875,0.485121423615,0.515034048944,3.05453924039,0.517335020123,0.0418009764221,-1.55737399312,2.17595174513,100.0,1.5266943774,0.307179652423,-0.0260776733643,1.40090795294,-2.49540324384,1.5600584595,2.99279651375,2.8846154213
20.169937,0.485121423615,0.514650553748,3.05415574519,0.51656802973,0.0421844716187,-1.55699049792,2.17595174513,100.0,1.52746136779,0.307179652423,-0.0256941781677,1.40282542892,-2.49578673904,1.5600584595,2.99356350414,2.8846154213
20.180090,0.484737928418,0.514267058551,3.05415574519,0.517335020123,0.0421844716187,-1.55660700273,2.17633524033,100.0,1.5270778726,0.30756314762,-0.0256941781677,1.40244193372,-2.49617023423,1.56044195469,2.99318000894,2.8846154213
20.189924,0.484737928418,0.514650553748,3.05377224999,0.516951524927,0.0418009764221,-1.55660700273,2.17671873552,100.0,1.5270778726,0.307946642816,-0.0241601973816,1.40129144813,-2.49540324384,1.5600584595,2.99279651375,2.8846154213
20.199964,0.485121423615,0.513883563354,3.0526217644,0.517335020123,0.0418009764221,-1.55660700273,2.17633524033,100.0,1.5270778726,0.30756314762,-0.0241601973816,1.40167494333,-2.49770421502,1.56044195469,2.99318000894,2.8846154213
20.210136,0.485504918811,0.515034048944,3.05377224999,0.51656802973,0.0418009764221,-1.55660700273,2.17595174513,100.0,1.52784486299,0.308713633209,-0.0233932069885,1.40090795294,-2.49847120541,1.56082544989,2.99394699933,2.8846154213
20.219838,0.485888414008,0.514267058551,3.05415574519,0.517335020123,0.0425679668152,-1.55699049792,2.17480125954,100.0,1.52746136779,0.307946642816,-0.023009711792,1.40090795294,-2.49770421502,1.56082544989,2.99318000894,2.8846154213
